                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 0.7741,                0.56269,                 1.0658,                0.91728,                0.90223,                0.94479,                0.80451,                0.74379,                0.47911,                 1.0237,               0.006898,               0.006898,               0.006898
                     97,                0.77926,                0.57522,                 1.0656,                0.91362,                0.90955,                0.94516,                0.80197,                0.74517,                0.47584,                 1.0252,               0.006865,               0.006865,               0.006865
                     98,                0.76924,                0.56306,                 1.0708,                0.91362,                0.91584,                0.94465,                0.80262,                0.75086,                0.48123,                 1.0269,               0.006832,               0.006832,               0.006832
                     99,                0.77021,                0.55055,                 1.0657,                0.91305,                 0.9145,                0.94414,                0.80109,                0.74598,                0.48038,                 1.0227,               0.006799,               0.006799,               0.006799
                    100,                0.76981,                0.55426,                 1.0595,                0.91428,                0.90902,                0.94598,                0.80592,                 0.7397,                0.47472,                 1.0168,               0.006766,               0.006766,               0.006766
                    101,                0.77157,                0.55398,                 1.0669,                0.91086,                0.91644,                   0.95,                0.80775,                0.73967,                0.46281,                 1.0159,               0.006733,               0.006733,               0.006733
                    102,                 0.7731,                0.55829,                 1.0632,                0.91867,                0.90774,                0.94357,                0.80622,                0.73762,                0.46812,                 1.0148,                 0.0067,                 0.0067,                 0.0067
                    103,                0.76696,                0.55809,                 1.0666,                0.92356,                0.90371,                0.94208,                0.80631,                0.73332,                 0.4725,                 1.0131,               0.006667,               0.006667,               0.006667
                    104,                0.76649,                0.54966,                 1.0604,                 0.9247,                  0.898,                0.94118,                0.80195,                0.73664,                0.47912,                 1.0129,               0.006634,               0.006634,               0.006634
                    105,                 0.7638,                0.54926,                 1.0618,                0.91806,                0.90391,                0.94368,                0.80436,                0.73382,                0.47492,                 1.0097,               0.006601,               0.006601,               0.006601
                    106,                0.76334,                0.54574,                  1.062,                0.92286,                0.89628,                 0.9439,                0.80851,                0.73359,                0.48772,                 1.0096,               0.006568,               0.006568,               0.006568
                    107,                0.76371,                0.54848,                 1.0582,                0.90691,                0.91637,                0.94721,                0.80774,                0.73303,                   0.49,                 1.0087,               0.006535,               0.006535,               0.006535
                    108,                0.75897,                0.53979,                 1.0594,                0.92028,                0.90348,                0.94874,                0.81061,                0.73057,                0.48125,                 1.0088,               0.006502,               0.006502,               0.006502
                    109,                0.75917,                0.54326,                 1.0572,                0.92172,                0.90583,                0.94874,                0.81425,                0.72809,                0.47392,                 1.0078,               0.006469,               0.006469,               0.006469
                    110,                0.75467,                0.53861,                 1.0578,                 0.9256,                 0.9007,                0.94854,                0.80796,                0.72361,                 0.4695,                 1.0068,               0.006436,               0.006436,               0.006436
                    111,                 0.7642,                0.54238,                 1.0687,                0.91359,                0.91447,                0.94603,                0.80854,                0.72867,                0.47453,                 1.0087,               0.006403,               0.006403,               0.006403
                    112,                0.75636,                0.54499,                 1.0596,                0.92213,                0.90206,                0.94305,                0.80887,                0.72679,                0.48777,                 1.0105,                0.00637,                0.00637,                0.00637
                    113,                0.75918,                0.53801,                  1.057,                0.92611,                0.90213,                0.94557,                0.81184,                0.72591,                0.47706,                 1.0103,               0.006337,               0.006337,               0.006337
                    114,                0.74253,                0.52366,                 1.0508,                0.92169,                0.90394,                0.94398,                0.81087,                0.72663,                0.47732,                 1.0102,               0.006304,               0.006304,               0.006304
                    115,                 0.7536,                0.53287,                 1.0514,                0.92439,                0.90421,                0.94479,                0.80834,                0.72671,                0.47425,                 1.0099,               0.006271,               0.006271,               0.006271
                    116,                0.75889,                0.53625,                 1.0575,                0.91085,                0.91623,                0.94435,                0.80501,                0.72447,                0.47774,                 1.0091,               0.006238,               0.006238,               0.006238
                    117,                0.75816,                 0.5362,                 1.0589,                0.92589,                0.90309,                0.94673,                0.80968,                0.72474,                0.47104,                  1.011,               0.006205,               0.006205,               0.006205
                    118,                0.75031,                0.53021,                 1.0514,                0.92424,                0.90875,                 0.9414,                0.80906,                0.72488,                0.47489,                 1.0106,               0.006172,               0.006172,               0.006172
                    119,                0.74671,                0.52649,                 1.0545,                0.92369,                0.90871,                0.93978,                0.80611,                 0.7234,                0.47735,                 1.0111,               0.006139,               0.006139,               0.006139
                    120,                0.75355,                0.52622,                 1.0521,                0.92346,                0.90913,                0.94088,                 0.8049,                 0.7261,                0.48196,                 1.0115,               0.006106,               0.006106,               0.006106
                    121,                0.74462,                0.52275,                 1.0494,                0.91791,                0.91779,                0.94715,                0.80682,                0.72461,                0.47925,                 1.0113,               0.006073,               0.006073,               0.006073
                    122,                0.74738,                  0.532,                 1.0532,                0.91569,                0.91876,                0.94613,                0.80713,                0.72762,                0.48323,                 1.0131,                0.00604,                0.00604,                0.00604
                    123,                0.74124,                0.51651,                 1.0485,                0.91528,                0.91863,                0.94657,                0.80683,                0.72771,                0.48066,                 1.0144,               0.006007,               0.006007,               0.006007
                    124,                0.74814,                 0.5229,                 1.0532,                0.91686,                0.91828,                0.94589,                0.80302,                0.72815,                0.47707,                 1.0151,               0.005974,               0.005974,               0.005974
                    125,                0.73484,                0.51118,                 1.0474,                0.91655,                 0.9087,                0.94267,                 0.8045,                0.72939,                0.47845,                 1.0154,               0.005941,               0.005941,               0.005941
                    126,                0.74335,                0.52324,                 1.0489,                0.91922,                0.90678,                0.94303,                0.80525,                0.72957,                0.47193,                 1.0155,               0.005908,               0.005908,               0.005908
                    127,                0.75195,                0.52916,                 1.0526,                0.92229,                0.90474,                0.94351,                 0.8053,                0.72723,                0.46972,                 1.0134,               0.005875,               0.005875,               0.005875
                    128,                0.74673,                0.52236,                 1.0471,                0.91885,                0.90786,                0.94798,                0.80644,                0.72738,                0.47098,                 1.0132,               0.005842,               0.005842,               0.005842
                    129,                0.73693,                0.51581,                 1.0465,                0.92041,                0.90198,                0.94437,                0.80673,                0.72836,                0.47058,                 1.0139,               0.005809,               0.005809,               0.005809
                    130,                0.73748,                 0.5188,                 1.0521,                0.91933,                0.90983,                0.94962,                0.80745,                 0.7299,                0.47059,                 1.0162,               0.005776,               0.005776,               0.005776
                    131,                0.73666,                0.51231,                 1.0461,                0.91896,                0.90939,                0.94924,                0.80767,                0.73146,                 0.4696,                 1.0169,               0.005743,               0.005743,               0.005743
                    132,                0.74852,                0.51843,                 1.0565,                 0.9229,                0.90571,                0.94853,                0.80604,                0.72905,                0.47072,                 1.0158,                0.00571,                0.00571,                0.00571
                    133,                0.73943,                0.52456,                 1.0448,                0.92607,                0.90121,                0.94803,                0.80612,                0.72758,                0.46899,                 1.0153,               0.005677,               0.005677,               0.005677
                    134,                0.73515,                0.50812,                 1.0423,                0.92607,                0.90547,                0.94809,                0.80511,                0.72942,                0.46602,                 1.0162,               0.005644,               0.005644,               0.005644
                    135,                0.74077,                 0.5082,                 1.0422,                0.92493,                0.90617,                0.94874,                0.80572,                0.72841,                0.46522,                 1.0158,               0.005611,               0.005611,               0.005611
                    136,                0.72803,                0.51025,                 1.0443,                0.90959,                0.91832,                 0.9474,                0.80722,                0.72743,                0.46801,                 1.0154,               0.005578,               0.005578,               0.005578
                    137,                0.72953,                0.50969,                 1.0439,                0.91139,                0.91948,                0.94881,                0.80623,                 0.7257,                 0.4671,                 1.0147,               0.005545,               0.005545,               0.005545
                    138,                0.73914,                0.50905,                 1.0425,                0.91184,                0.92136,                 0.9472,                0.80538,                0.72437,                0.46667,                 1.0136,               0.005512,               0.005512,               0.005512
                    139,                0.72988,                0.51036,                 1.0406,                0.91439,                0.92134,                0.94804,                0.80702,                0.72291,                0.46395,                 1.0125,               0.005479,               0.005479,               0.005479
                    140,                0.72579,                0.50062,                 1.0416,                0.91362,                0.92138,                0.94858,                0.80973,                 0.7223,                0.46223,                 1.0118,               0.005446,               0.005446,               0.005446
                    141,                0.72294,                0.49995,                 1.0369,                0.91433,                0.92394,                0.94934,                0.80814,                0.72142,                0.46211,                 1.0113,               0.005413,               0.005413,               0.005413
                    142,                0.71897,                0.50523,                 1.0372,                0.90801,                0.91674,                0.94425,                 0.8095,                0.72382,                0.46283,                 1.0128,                0.00538,                0.00538,                0.00538
                    143,                0.72243,                0.50067,                 1.0381,                0.92752,                0.89803,                0.94523,                0.80782,                0.72362,                0.46185,                 1.0127,               0.005347,               0.005347,               0.005347
                    144,                0.72189,                0.49946,                 1.0373,                0.92433,                0.90173,                0.94595,                0.80895,                0.72358,                 0.4606,                 1.0128,               0.005314,               0.005314,               0.005314
                    145,                0.72747,                0.49902,                 1.0366,                0.92469,                0.90109,                0.94475,                0.80944,                0.72368,                0.46103,                 1.0135,               0.005281,               0.005281,               0.005281
                    146,                0.72333,                 0.4975,                 1.0394,                0.92462,                0.90033,                0.94528,                0.81039,                0.72431,                0.46017,                 1.0138,               0.005248,               0.005248,               0.005248
